DateTime;Working Set;Private Bytes;Handle Count;CPU %
2022.02.07_18-06-59;434,8867;725,3867;728;0
2022.02.07_18-07-04;665,9609;1068,773;848;29,90911
2022.02.07_18-07-09;734,5078;1461,402;849;63,76189
2022.02.07_18-07-14;744,4023;1581,07;849;74,63527
2022.02.07_18-07-19;773,2656;1781,828;849;82,0589
2022.02.07_18-07-24;799,7188;2321,141;852;75,78661
2022.02.07_18-07-29;794,0664;2542,496;845;81,44847
2022.02.07_18-07-34;788,7578;2537,156;845;81,02882
2022.02.07_18-07-39;790,7344;2539,477;849;74,27771
2022.02.07_18-07-44;819,9375;2621,004;877;58,17319
